Zeit;Kanal A
(ms);(V)

-4.81569754;0.62253930
-4.79069754;0.62253930
-4.76569754;0.62253930
-4.74069754;0.60371550
-4.71569754;0.60371550
-4.69069754;0.62253930
-4.66569755;0.62253930
-4.64069755;0.62253930
-4.61569755;0.62253930
-4.59069755;0.62253930
-4.56569755;0.60371550
-4.54069755;0.62253930
-4.51569755;0.62253930
-4.49069755;0.62253930
-4.46569755;0.62253930
-4.44069755;0.60371550
-4.41569755;0.62253930
-4.39069755;0.62253930
-4.36569755;0.62253930
-4.34069755;0.62253930
-4.31569755;0.66031000
-4.29069755;0.60371550
-4.26569756;0.60371550
-4.24069756;0.62253930
-4.21569756;0.60371550
-4.19069756;0.62253930
-4.16569756;0.62253930
-4.14069756;0.60371550
-4.11569756;0.62253930
-4.09069756;0.62253930
-4.06569756;0.60371550
-4.04069756;0.62253930
-4.01569756;0.62253930
-3.99069756;0.60371550
-3.96569756;0.62253930
-3.94069756;0.62253930
-3.91569756;0.62253930
-3.89069756;0.62253930
-3.86569757;0.62253930
-3.84069757;0.62253930
-3.81569757;0.60371550
-3.79069757;0.62253930
-3.76569757;0.60371550
-3.74069757;0.62253930
-3.71569757;0.58483020
-3.69069757;0.64142470
-3.66569757;0.62253930
-3.64069757;0.62253930
-3.61569757;0.60371550
-3.59069757;0.60371550
-3.56569757;0.60371550
-3.54069757;0.62253930
-3.51569757;0.62253930
-3.49069758;0.62253930
-3.46569758;0.54712100
-3.44069758;0.62253930
-3.41569758;0.58483020
-3.39069758;0.62253930
-3.36569758;0.62253930
-3.34069758;0.60371550
-3.31569758;0.60371550
-3.29069758;0.56594490
-3.26569758;0.62253930
-3.24069758;0.60371550
-3.21569758;0.60371550
-3.19069758;0.62253930
-3.16569758;0.64142470
-3.14069758;0.60371550
-3.11569758;0.64142470
-3.09069759;0.62253930
-3.06569759;0.60371550
-3.04069759;0.64142470
-3.01569759;0.62253930
-2.99069759;0.60371550
-2.96569759;0.64142470
-2.94069759;0.62253930
-2.91569759;0.60371550
-2.89069759;0.62253930
-2.86569759;0.56594490
-2.84069759;0.62253930
-2.81569759;0.60371550
-2.79069759;0.60371550
-2.76569759;0.62253930
-2.74069759;0.62253930
-2.71569759;0.60371550
-2.69069760;0.64142470
-2.66569760;0.60371550
-2.64069760;0.62253930
-2.61569760;0.56594490
-2.59069760;0.60371550
-2.56569760;0.58483020
-2.54069760;0.62253930
-2.51569760;0.60371550
-2.49069760;0.56594490
-2.46569760;0.62253930
-2.44069760;0.64142470
-2.41569760;0.62253930
-2.39069760;0.62253930
-2.36569760;0.60371550
-2.34069760;0.60371550
-2.31569760;0.62253930
-2.29069761;0.62253930
-2.26569761;0.62253930
-2.24069761;0.62253930
-2.21569761;0.62253930
-2.19069761;0.62253930
-2.16569761;0.60371550
-2.14069761;0.60371550
-2.11569761;0.60371550
-2.09069761;0.60371550
-2.06569761;0.64142470
-2.04069761;0.62253930
-2.01569761;0.62253930
-1.99069761;0.62253930
-1.96569761;0.62253930
-1.94069761;0.60371550
-1.91569761;0.62253930
-1.89069762;0.62253930
-1.86569762;0.64142470
-1.84069762;0.60371550
-1.81569762;0.62253930
-1.79069762;0.60371550
-1.76569762;0.62253930
-1.74069762;0.60371550
-1.71569762;0.60371550
-1.69069762;0.60371550
-1.66569762;0.58483020
-1.64069762;0.60371550
-1.61569762;0.60371550
-1.59069762;0.62253930
-1.56569762;0.60371550
-1.54069762;0.62253930
-1.51569762;0.62253930
-1.49069763;0.60371550
-1.46569763;0.62253930
-1.44069763;0.60371550
-1.41569763;0.62253930
-1.39069763;0.60371550
-1.36569763;0.62253930
-1.34069763;0.62253930
-1.31569763;0.62253930
-1.29069763;0.62253930
-1.26569763;0.58483020
-1.24069763;0.62253930
-1.21569763;0.62253930
-1.19069763;0.64142470
-1.16569763;0.62253930
-1.14069763;0.60371550
-1.11569764;0.58483020
-1.09069764;0.60371550
-1.06569764;0.62253930
-1.04069764;0.60371550
-1.01569764;0.60371550
-0.99069764;0.62253930
-0.96569764;0.62253930
-0.94069764;0.62253930
-0.91569764;0.62253930
-0.89069764;0.62253930
-0.86569764;0.62253930
-0.84069764;0.58483020
-0.81569764;0.81120820
-0.79069764;0.62253930
-0.76569764;0.62253930
-0.74069764;0.62253930
-0.71569765;0.60371550
-0.69069765;0.60371550
-0.66569765;0.62253930
-0.64069765;0.62253930
-0.61569765;0.49052660
-0.59069765;0.58483020
-0.56569765;0.62253930
-0.54069765;0.62253930
-0.51569765;0.64142470
-0.49069765;0.62253930
-0.46569765;0.60371550
-0.44069765;0.62253930
-0.41569765;0.58483020
-0.39069765;0.60371550
-0.36569765;0.62253930
-0.34069765;0.64142470
-0.31569766;0.62253930
-0.29069766;0.60371550
-0.26569766;0.62253930
-0.24069766;0.60371550
-0.21569766;0.60371550
-0.19069766;0.62253930
-0.16569766;0.60371550
-0.14069766;0.62253930
-0.11569766;0.62253930
-0.09069766;0.64142470
-0.06569766;0.60371550
-0.04069766;0.62253930
-0.01569766;-1.01876200
0.00930234;0.60371550
0.03430234;0.60371550
0.05930234;0.62253930
0.08430233;0.62253930
0.10930233;0.62253930
0.13430233;0.62253930
0.15930233;0.62253930
0.18430233;0.60371550
0.20930233;0.60371550
0.23430233;0.60371550
0.25930233;0.62253930
0.28430233;0.62253930
0.30930233;0.62253930
0.33430233;0.60371550
0.35930233;0.60371550
0.38430233;0.60371550
0.40930233;0.64142470
0.43430233;0.60371550
0.45930233;0.62253930
0.48430232;0.60371550
0.50930232;0.62253930
0.53430232;0.62253930
0.55930232;0.62253930
0.58430232;0.60371550
0.60930232;0.60371550
0.63430232;0.60371550
0.65930232;0.60371550
0.68430232;0.62253930
0.70930232;0.60371550
0.73430232;0.62253930
0.75930232;0.62253930
0.78430232;0.62253930
0.80930232;0.62253930
0.83430232;0.60371550
0.85930232;0.66031000
0.88430231;0.62253930
0.90930231;0.62253930
0.93430231;0.62253930
0.95930231;0.62253930
0.98430231;0.58483020
1.00930231;0.62253930
1.03430231;0.62253930
1.05930231;0.60371550
1.08430231;0.60371550
1.10930231;0.54712100
1.13430231;0.62253930
1.15930231;0.62253930
1.18430231;0.60371550
1.20930231;0.58483020
1.23430231;0.62253930
1.25930230;0.60371550
1.28430230;0.62253930
1.30930230;0.60371550
1.33430230;0.60371550
1.35930230;0.62253930
1.38430230;0.60371550
1.40930230;0.62253930
1.43430230;0.60371550
1.45930230;0.60371550
1.48430230;0.60371550
1.50930230;0.62253930
1.53430230;0.60371550
1.55930230;0.62253930
1.58430230;0.62253930
1.60930230;0.60371550
1.63430230;0.60371550
1.65930229;0.62253930
1.68430229;0.62253930
1.70930229;0.60371550
1.73430229;0.62253930
1.75930229;0.60371550
1.78430229;0.62253930
1.80930229;0.62253930
1.83430229;0.64142470
1.85930229;0.52823570
1.88430229;0.60371550
1.90930229;0.62253930
1.93430229;0.64142470
1.95930229;0.64142470
1.98430229;0.64142470
2.00930229;0.64142470
2.03430229;0.60371550
2.05930228;0.62253930
2.08430228;0.62253930
2.10930228;0.58483020
2.13430228;0.15089810
2.15930228;0.62253930
2.18430228;0.62253930
2.20930228;0.62253930
2.23430228;0.62253930
2.25930228;0.60371550
2.28430228;0.62253930
2.30930228;0.60371550
2.33430228;0.60371550
2.35930228;0.60371550
2.38430228;0.62253930
2.40930228;0.60371550
2.43430228;0.62253930
2.45930227;0.60371550
2.48430227;0.62253930
2.50930227;0.64142470
2.53430227;0.62253930
2.55930227;0.62253930
2.58430227;0.62253930
2.60930227;0.62253930
2.63430227;0.62253930
2.65930227;0.62253930
2.68430227;0.60371550
2.70930227;0.62253930
2.73430227;0.62253930
2.75930227;0.62253930
2.78430227;0.62253930
2.80930227;0.62253930
2.83430227;0.62253930
2.85930226;0.64142470
2.88430226;0.64142470
2.90930226;0.58483020
2.93430226;0.60371550
2.95930226;0.58483020
2.98430226;0.60371550
3.00930226;0.60371550
3.03430226;0.62253930
3.05930226;0.62253930
3.08430226;0.60371550
3.10930226;0.62253930
3.13430226;0.64142470
3.15930226;0.64142470
3.18430226;0.60371550
3.20930226;0.60371550
3.23430226;0.62253930
3.25930225;0.62253930
3.28430225;0.60371550
3.30930225;0.60371550
3.33430225;0.60371550
3.35930225;0.60371550
3.38430225;0.60371550
3.40930225;0.60371550
3.43430225;0.60371550
3.45930225;0.62253930
3.48430225;0.62253930
3.50930225;0.62253930
3.53430225;0.60371550
3.55930225;0.62253930
3.58430225;0.60371550
3.60930225;0.62253930
3.63430224;0.62253930
3.65930224;0.62253930
3.68430224;0.62253930
3.70930224;0.62253930
3.73430224;0.62253930
3.75930224;0.62253930
3.78430224;0.62253930
3.80930224;0.64142470
3.83430224;0.60371550
3.85930224;0.62253930
3.88430224;0.62253930
3.90930224;0.62253930
3.93430224;0.60371550
3.95930224;0.62253930
3.98430224;0.62253930
4.00930224;0.62253930
4.03430223;0.62253930
4.05930223;0.62253930
4.08430223;0.60371550
4.10930223;0.64142470
4.13430223;0.60371550
4.15930223;0.64142470
4.18430223;0.60371550
4.20930223;0.62253930
4.23430223;0.60371550
4.25930223;0.60371550
4.28430223;0.60371550
4.30930223;0.62253930
4.33430223;0.62253930
4.35930223;0.62253930
4.38430223;0.60371550
4.40930223;0.62253930
4.43430222;0.60371550
4.45930222;0.60371550
4.48430222;0.60371550
4.50930222;0.62253930
4.53430222;0.67919530
4.55930222;0.60371550
4.58430222;0.56594490
4.60930222;0.62253930
4.63430222;0.60371550
4.65930222;0.60371550
4.68430222;0.62253930
4.70930222;0.60371550
4.73430222;0.58483020
4.75930222;0.60371550
4.78430222;0.62253930
4.80930222;0.62253930
4.83430221;0.66031000
4.85930221;0.64142470
4.88430221;0.62253930
4.90930221;0.62253930
4.93430221;0.64142470
4.95930221;0.62253930
4.98430221;0.64142470
5.00930221;0.62253930
5.03430221;0.62253930
5.05930221;0.62253930
5.08430221;0.60371550
5.10930221;0.62253930
5.13430221;0.60371550
5.15930221;0.62253930
5.18430221;0.62253930
5.20930221;0.60371550
5.23430220;0.60371550
5.25930220;0.60371550
5.28430220;0.60371550
5.30930220;0.62253930
5.33430220;0.60371550
5.35930220;0.62253930
5.38430220;0.62253930
5.40930220;0.62253930
5.43430220;0.60371550
5.45930220;0.60371550
5.48430220;0.62253930
5.50930220;0.60371550
5.53430220;0.60371550
5.55930220;0.60371550
5.58430220;0.60371550
5.60930220;0.62253930
5.63430219;0.62253930
5.65930219;0.62253930
5.68430219;0.62253930
5.70930219;0.62253930
5.73430219;0.62253930
5.75930219;0.62253930
5.78430219;0.66031000
5.80930219;0.62253930
5.83430219;0.62253930
5.85930219;0.60371550
5.88430219;0.62253930
5.90930219;0.64142470
5.93430219;0.62253930
5.95930219;0.60371550
5.98430219;0.60371550
6.00930218;0.64142470
6.03430218;0.62253930
6.05930218;0.62253930
6.08430218;0.60371550
6.10930218;0.60371550
6.13430218;0.62253930
6.15930218;0.62253930
6.18430218;0.62253930
6.20930218;0.60371550
6.23430218;0.62253930
6.25930218;0.62253930
6.28430218;0.60371550
6.30930218;0.60371550
6.33430218;0.62253930
6.35930218;0.60371550
6.38430218;0.62253930
6.40930217;0.58483020
6.43430217;0.60371550
6.45930217;0.60371550
6.48430217;0.60371550
6.50930217;0.62253930
6.53430217;0.62253930
6.55930217;0.62253930
6.58430217;0.62253930
6.60930217;0.60371550
6.63430217;0.66031000
6.65930217;0.62253930
6.68430217;0.62253930
6.70930217;0.62253930
6.73430217;0.62253930
6.75930217;0.62253930
6.78430217;0.60371550
6.80930216;0.62253930
6.83430216;0.62253930
6.85930216;0.60371550
6.88430216;0.62253930
6.90930216;0.64142470
6.93430216;0.60371550
6.95930216;0.62253930
6.98430216;0.60371550
7.00930216;0.71690450
7.03430216;0.60371550
7.05930216;0.62253930
7.08430216;0.62253930
7.10930216;0.60371550
7.13430216;0.60371550
7.15930216;0.60371550
7.18430216;0.60371550
7.20930215;0.62253930
7.23430215;0.64142470
7.25930215;0.64142470
7.28430215;0.60371550
7.30930215;0.60371550
7.33430215;0.62253930
7.35930215;0.60371550
7.38430215;0.60371550
7.40930215;0.62253930
7.43430215;0.60371550
7.45930215;0.64142470
7.48430215;0.64142470
7.50930215;0.62253930
7.53430215;0.50935040
7.55930215;0.62253930
7.58430215;0.60371550
7.60930214;0.62253930
7.63430214;0.60371550
7.65930214;0.62253930
7.68430214;0.62253930
7.70930214;0.62253930
7.73430214;0.62253930
7.75930214;0.62253930
7.78430214;0.60371550
7.80930214;0.62253930
7.83430214;0.62253930
7.85930214;0.62253930
7.88430214;0.64142470
7.90930214;0.62253930
7.93430214;0.60371550
7.95930214;0.62253930
7.98430214;0.60371550
8.00930213;0.62253930
8.03430213;0.62253930
8.05930213;0.60371550
8.08430213;0.60371550
